order,proposed_label,placement,title,source_file,status,submission_action,reader_facing_docx,complete_workbook
1,S1 Table,Supplementary Materials,NHANES 2007-2012 discovery cohort exclusion flow,outputs/tables/discovery_exclusion_flow.csv,formatted_docx_and_full_xlsx,Use as participant-flow source data.,manuscript/PLOS_ONE_Supplementary_Tables.docx,manuscript/PLOS_ONE_Supplementary_Tables_full.xlsx
2,S2 Table,Supplementary Materials,Full discovery thyroid outcome models. TGAb and TPOAb are exploratory outcomes,outputs/tables/TableS_full_thyroid_results.csv,formatted_docx_and_full_xlsx,Keep TGAb and TPOAb exploratory and outside the main conclusion.,manuscript/PLOS_ONE_Supplementary_Tables.docx,manuscript/PLOS_ONE_Supplementary_Tables_full.xlsx
3,S3 Table,Supplementary Materials,"TT4 robustness analyses, including restricted cubic spline statistics",outputs/tables/TableS_TT4_robustness.csv,formatted_docx_and_full_xlsx,Report restricted cubic spline statistics and prespecified TT4 sensitivity analyses.,manuscript/PLOS_ONE_Supplementary_Tables.docx,manuscript/PLOS_ONE_Supplementary_Tables_full.xlsx
4,S4 Table,Supplementary Materials,NHANES III participant flow and diagnostic distributions,outputs/tables/validation_exclusion_flow.csv; outputs/tables/Table_validation_diagnostic_distribution.csv,formatted_docx_and_full_xlsx,State that the NHANES III result was not statistically replicated.,manuscript/PLOS_ONE_Supplementary_Tables.docx,manuscript/PLOS_ONE_Supplementary_Tables_full.xlsx
5,S5 Table,Supplementary Materials,Harmonized NHANES 2007-2012 and NHANES III assessment of the UACR-TT4 association,outputs/tables/Table_harmonized_discovery_validation_TT4.csv,formatted_docx_and_full_xlsx,Retain harmonized H1-H3 comparisons as Supplementary evidence.,manuscript/PLOS_ONE_Supplementary_Tables.docx,manuscript/PLOS_ONE_Supplementary_Tables_full.xlsx
6,S6 Table,Supplementary Materials,Mortality linkage flow,outputs/tables/mortality_linkage_flow.csv,formatted_docx_and_full_xlsx,Document mortality linkage and eligible follow-up counts.,manuscript/PLOS_ONE_Supplementary_Tables.docx,manuscript/PLOS_ONE_Supplementary_Tables_full.xlsx
7,S7 Table,Supplementary Materials,Secondary descriptive joint UACR and TT4 mortality categories,outputs/tables/Table_mortality_joint.csv,formatted_docx_and_full_xlsx,Present as secondary descriptive analysis; do not claim a monotonic joint-risk gradient.,manuscript/PLOS_ONE_Supplementary_Tables.docx,manuscript/PLOS_ONE_Supplementary_Tables_full.xlsx
8,S8 Table,Supplementary Materials,Secondary mortality effect-modification tests,outputs/tables/Table_mortality_interaction.csv,formatted_docx_and_full_xlsx,Report non-significant tests; do not claim effect modification.,manuscript/PLOS_ONE_Supplementary_Tables.docx,manuscript/PLOS_ONE_Supplementary_Tables_full.xlsx
9,S9 Table,Supplementary Materials,Mortality sensitivity analyses and proportional-hazards diagnostics,outputs/tables/Table_mortality_sensitivity.csv,formatted_docx_and_full_xlsx,"Include early-death exclusion, euthyroid restriction, per-SD TT4, and diagnostic PH checks.",manuscript/PLOS_ONE_Supplementary_Tables.docx,manuscript/PLOS_ONE_Supplementary_Tables_full.xlsx
10,S10 Table,Supplementary Materials,OpenGWAS trait selection for the exploratory genetic analysis,outputs/tables/Table_MR_GWAS_selection.csv,formatted_docx_and_full_xlsx,State unavailable FT4 and TT4 GWAS and instrument limitations.,manuscript/PLOS_ONE_Supplementary_Tables.docx,manuscript/PLOS_ONE_Supplementary_Tables_full.xlsx
11,S11 Table,Supplementary Materials,Exploratory bidirectional genetic-analysis main results,outputs/tables/Table_MR_main.csv,formatted_docx_and_full_xlsx,Label results as exploratory genetic analysis only.,manuscript/PLOS_ONE_Supplementary_Tables.docx,manuscript/PLOS_ONE_Supplementary_Tables_full.xlsx
12,S12 Table,Supplementary Materials,Exploratory bidirectional genetic-analysis sensitivity results,outputs/tables/Table_MR_sensitivity.csv,formatted_docx_and_full_xlsx,Retain as Supplementary technical detail only.,manuscript/PLOS_ONE_Supplementary_Tables.docx,manuscript/PLOS_ONE_Supplementary_Tables_full.xlsx
